Mon, May 16, 2022	7	15	22	36	64	13	2X	$90 million
Sat, May 14, 2022	6	40	41	45	52	9	3X	$83 million
Wed, May 11, 2022	5	7	61	63	69	18	2X	$68 million
Mon, May 9, 2022	18	30	35	52	56	5	2X	$59 million
Sat, May 7, 2022	4	5	6	28	67	10	2X	$51 million
Wed, May 4, 2022	37	39	55	63	69	23	2X	$37 million
Mon, May 2, 2022	18	27	33	39	44	8	5X	$27 million
Sat, Apr 30, 2022	14	21	37	44	63	1	3X	$20 million
Wed, Apr 27, 2022	11	36	61	62	68	4	2X	$473.1 million
Mon, Apr 25, 2022	12	18	20	39	61	10	2X	$421 million
Sat, Apr 23, 2022	10	39	47	49	56	8	3X	$400 million
Wed, Apr 20, 2022	20	30	45	55	56	14	2X	$370 million
Mon, Apr 18, 2022	8	33	55	59	62	18	2X	$348 million
Sat, Apr 16, 2022	15	21	32	62	65	26	5X	$325 million
Wed, Apr 13, 2022	14	16	41	63	68	26	2X	$302 million
Mon, Apr 11, 2022	5	7	24	31	34	4	2X	$288 million
Sat, Apr 9, 2022	6	16	31	62	66	18	2X	$268 million
Wed, Apr 6, 2022	6	42	45	47	64	18	3X	$246 million
Mon, Apr 4, 2022	2	32	39	46	69	6	2X	$231 million
Sat, Apr 2, 2022	6	28	47	58	59	18	2X	$222 million
Wed, Mar 30, 2022	3	7	21	31	37	11	3X	$206 million
Mon, Mar 28, 2022	11	18	39	58	62	3	2X	$195 million
Sat, Mar 26, 2022	2	10	50	59	61	6	3X	$181 million
Wed, Mar 23, 2022	31	32	37	38	48	24	2X	$167 million
Mon, Mar 21, 2022	1	15	26	63	65	16	2X	$156 million
Sat, Mar 19, 2022	8	9	18	48	52	6	2X	$147 million
Wed, Mar 16, 2022	3	28	34	35	58	17	2X	$133 million
Mon, Mar 14, 2022	21	28	32	44	49	6	3X	$124 million
Sat, Mar 12, 2022	19	20	37	39	61	8	2X	$112 million
Wed, Mar 9, 2022	13	22	34	51	67	10	2X	$99 million
Mon, Mar 7, 2022	10	43	55	59	67	2	3X	$90 million
Sat, Mar 5, 2022	8	23	37	52	63	13	2X	$85 million
Wed, Mar 2, 2022	19	37	48	61	63	12	2X	$73 million
Mon, Feb 28, 2022	7	21	39	47	55	19	2X	$65 million
Sat, Feb 26, 2022	15	32	36	48	64	19	3X	$58 million
Wed, Feb 23, 2022	6	17	21	35	64	18	2X	$45 million
Mon, Feb 21, 2022	2	36	37	45	69	3	2X	$37 million
Sat, Feb 19, 2022	3	10	15	33	42	11	2X	$31 million
Wed, Feb 16, 2022	22	30	40	42	48	16	2X	$20 million
Mon, Feb 14, 2022	16	25	27	49	55	17	3X	$185.3 million
Sat, Feb 12, 2022	8	10	21	41	62	7	3X	$172 million
Wed, Feb 9, 2022	2	17	33	51	63	26	2X	$158 million
Mon, Feb 7, 2022	5	15	38	47	65	10	3X	$147 million
Sat, Feb 5, 2022	5	16	27	39	61	24	2X	$137 million
Wed, Feb 2, 2022	18	29	33	62	63	15	3X	$123 million
